gene_id	gene_name	USA100_N315_Biofilm_10h_1	USA100_N315_Biofilm_10h_2	USA100_N315_Biofilm_10h_3	USA100_N315_Biofilm_10h_4	USA100_N315_Biofilm_24h_1	USA100_N315_Biofilm_24h_2	USA100_N315_Biofilm_24h_3	USA100_N315_Biofilm_24h_4	USA100_N315_Biofilm_24h_5	USA100_N315_Biofilm_24h_6	USA100_N315_Biofilm_24h_7	USA100_N315_Biofilm_24h_8	USA100_N315_Biofilm_5h_1	USA100_N315_Biofilm_5h_2	USA100_N315_Biofilm_5h_3	USA100_N315_Biofilm_5h_4	USA100_N315_Planktonic_10h_1	USA100_N315_Planktonic_10h_2	USA100_N315_Planktonic_10h_3	USA100_N315_Planktonic_10h_4	USA100_N315_Planktonic_24h_1	USA100_N315_Planktonic_24h_2	USA100_N315_Planktonic_24h_3	USA100_N315_Planktonic_24h_4	USA100_N315_Planktonic_24h_5	USA100_N315_Planktonic_24h_6	USA100_N315_Planktonic_24h_7	USA100_N315_Planktonic_24h_8	USA100_N315_Planktonic_5h_1	USA100_N315_Planktonic_5h_2	USA100_N315_Planktonic_5h_3	USA100_N315_Planktonic_5h_4
SA_RS00005	SA_RS00005	1672.54	1751.437	1689.553	1608.504	929.422	907.332	1015.639	1006.054	903.904	1084.085	1098.808	1004.625	479.511	475.315	401.921	437.425	320.452	306.123	300.249	321.815	295.68	334.392	318.853	302.484	392.038	329.168	325.476	310.082	131.088	106.381	132.617	138.422
SA_RS00010	SA_RS00010	1175.002	1175.95	1174.529	1137.497	318	301	324	306.998	303	298.784	354	332	617.686	637.436	694.09	623.972	269	279.167	275	284.992	717.24	743.323	722.97	717	729	772	769	741	314.953	311.65	276.789	302.465
SA_RS00015	SA_RS00015	8	8	8	7	4	1	0	1	3	3	3	3	8.209	5.01	9.988	3	6	6	5	3	15	20	21	8	22	16	22	15	2	1	2	1
SA_RS00020	SA_RS00020	22	26	23	19	10	10	13	9	16	10	17	15	53.041	47.605	36.867	45.379	13	17	15	15	15	15.009	14	19.034	14	19	19	16	7.017	7	5	5
SA_RS00025	SA_RS00025	3	4	5	5	1	1	7	4	0	3	2	1	3	3	6	1	2	5	0	2	9.014	17.991	15	13.966	13	10	14	12	1	0	2	4
SA_RS00030	SA_RS00030	639.147	625.633	591.132	615.165	171.449	178	159.981	160	160	162	198.02	168	938.391	951.053	929.546	947.366	195	178.542	211.026	232	384	413	429.57	384.904	430	422.48	405	440.093	296.485	296.309	306.038	328.254
SA_RS00035	SA_RS00035	38	48	59	51	14	9	16	13	14	10	15	10	55.075	80.36	60.018	60.201	42	30	33	19.02	10	13	19	15	16	25	17	18	0	0	1	0
SA_RS00040	SA_RS00040	472.136	481.001	495.396	519.556	274	267.692	274.17	303	256	289	287	269	292.391	285.2	282.255	300.274	221	188	204	204	53	72	71	70	75	69	54.001	79	20	23.041	27	33.261
SA_RS00045	SA_RS00045	416.981	395.926	394.187	412.094	98	118.948	109.885	116	98.227	123.06	114.055	111.02	656.577	666.467	697.66	687.919	323.507	308.027	312.93	314.268	140	164.386	157	150.477	168.022	148.012	174.477	166.015	54.444	56.937	56	56
SA_RS00050	SA_RS00050	50.019	53.542	47.898	61.892	9	8.071	4.582	6	9.773	13	13	15.98	58.408	58.967	56.046	46.081	35.493	33.973	36.283	37.732	47	47.614	36	39.523	37.978	54.988	37.523	45.985	7	10	8	7
SA_RS00055	SA_RS00055	273.082	311.154	308.446	281.058	644.461	603.024	563.183	642.856	529.685	655.55	625.788	646.296	174.341	206.631	196.024	175.358	184.734	173.018	196.242	223.236	398.47	415.211	405.629	358.867	477.82	438.126	428.618	468.55	160.859	147.538	167.856	151.265
