sample,fastq_1,fastq_2,strandedness,seq_platform,sample_title_ena_metadata
N052611_albuterol,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039514_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039514_2.fastq.gz,auto,ILLUMINA,N052611_Alb
N052611_albuterol_dexamethasone,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039515_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039515_2.fastq.gz,auto,ILLUMINA,N052611_Alb_Dex
N052611_dexamethasone,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039513_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039513_2.fastq.gz,auto,ILLUMINA,N052611_Dex
N052611_untreated,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039512_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039512_2.fastq.gz,auto,ILLUMINA,N052611_untreated
N061011_albuterol,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039522_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039522_2.fastq.gz,auto,ILLUMINA,N061011_Alb
N061011_albuterol_dexamethasone,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039523_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039523_2.fastq.gz,auto,ILLUMINA,N061011_Alb_Dex
N061011_dexamethasone,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039521_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039521_2.fastq.gz,auto,ILLUMINA,N061011_Dex
N061011_untreated,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039520_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039520_2.fastq.gz,auto,ILLUMINA,N061011_untreated
N080611_albuterol,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039518_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039518_2.fastq.gz,auto,ILLUMINA,N080611_Alb
N080611_albuterol_dexamethasone,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039519_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039519_2.fastq.gz,auto,ILLUMINA,N080611_Alb_Dex
N080611_dexamethasone,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039517_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039517_2.fastq.gz,auto,ILLUMINA,N080611_Dex
N080611_untreated,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039516_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039516_2.fastq.gz,auto,ILLUMINA,N080611_untreated
N61311_albuterol,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039510_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039510_2.fastq.gz,auto,ILLUMINA,N61311_Alb
N61311_albuterol_dexamethasone,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039511_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039511_2.fastq.gz,auto,ILLUMINA,N61311_Alb_Dex
N61311_dexamethasone,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039509_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039509_2.fastq.gz,auto,ILLUMINA,N61311_Dex
N61311_untreated,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039508_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA229998_GSE52778/SRR1039508_2.fastq.gz,auto,ILLUMINA,N61311_untreated
