tx	gene_id	N052611_albuterol_dexamethasone	N052611_albuterol	N052611_dexamethasone	N052611_untreated	N061011_albuterol_dexamethasone	N061011_albuterol	N061011_dexamethasone	N061011_untreated	N080611_albuterol_dexamethasone	N080611_albuterol	N080611_dexamethasone	N080611_untreated	N61311_albuterol_dexamethasone	N61311_albuterol	N61311_dexamethasone	N61311_untreated
XM_002342010.1	LOC100287102	1333.131	1335.735	1333.468	1325.313	1333.115	1321.938	1334.406	1332.816	1332.927	1332.368	1332.185	1323.681	1328.397	1312.871	1330.23	1333.141
NR_024540.1	WASH5P	1614.131	1616.735	1614.468	1606.313	1614.115	1602.938	1615.406	1613.816	1613.927	1613.368	1613.185	1604.681	1609.397	1593.871	1611.23	1614.141
NR_026818.1	FAM138A	975.131	977.735	975.468	967.313	975.115	963.938	976.406	974.816	974.927	974.368	974.185	965.681	970.397	954.871	972.23	975.141
NM_001005484.1	OR4F5	763.166	765.768	763.494	755.339	763.159	751.983	764.441	762.853	762.966	762.402	762.211	753.725	758.437	742.935	760.288	763.186
XM_001724183.2	LOC100132632	2556.131	2558.735	2556.468	2548.313	2556.115	2544.938	2557.406	2555.816	2555.927	2555.368	2555.185	2546.681	2551.397	2535.871	2553.23	2556.141
XR_078212.1	LOC100287060	745.166	747.768	745.498	737.339	745.161	733.984	746.444	744.853	744.967	744.403	744.212	735.727	740.445	724.937	742.291	745.19
XR_039243.2	LOC653340	4293.131	4295.735	4293.468	4285.313	4293.115	4281.938	4294.406	4292.816	4292.927	4292.368	4292.185	4283.681	4288.397	4272.871	4290.23	4293.141
XM_001133863.2	LOC729737	2232.131	2234.735	2232.468	2224.313	2232.115	2220.938	2233.406	2231.816	2231.927	2231.368	2231.185	2222.681	2227.397	2211.871	2229.23	2232.141
XM_002344249.1	LOC100132287	1633.131	1635.735	1633.468	1625.313	1633.115	1621.938	1634.406	1632.816	1632.927	1632.368	1632.185	1623.681	1628.397	1612.871	1630.23	1633.141
XM_002344250.1	LOC100288609	1666.131	1668.735	1666.468	1658.313	1666.115	1654.938	1667.406	1665.816	1665.927	1665.368	1665.185	1656.681	1661.397	1645.871	1663.23	1666.141
XM_002344252.1	LOC100288667	2264.131	2266.735	2264.468	2256.313	2264.115	2252.938	2265.406	2263.816	2263.927	2263.368	2263.185	2254.681	2259.397	2243.871	2261.23	2264.141
XM_002344251.1	LOC100288646	779.163	781.767	779.491	771.339	779.159	767.982	780.441	778.852	778.963	778.399	778.21	769.725	774.436	758.927	776.284	779.184
NM_001005221.2	OR4F29	784.163	786.767	784.49	776.339	784.159	772.982	785.441	783.851	783.963	783.399	783.21	774.724	779.435	763.927	781.284	784.184
XR_078214.1	LOC100131754	1015.131	1017.735	1015.468	1007.313	1015.115	1003.938	1016.406	1014.816	1014.927	1014.368	1014.185	1005.681	1010.397	994.871	1012.23	1015.141
XR_078216.1	LOC100288578	2558.131	2560.735	2558.468	2550.313	2558.115	2546.938	2559.406	2557.816	2557.927	2557.368	2557.185	2548.681	2553.397	2537.871	2555.23	2558.141
XM_002342023.1	LOC100288418	1324.131	1326.735	1324.468	1316.313	1324.115	1312.938	1325.406	1323.816	1323.927	1323.368	1323.185	1314.681	1319.397	1303.871	1321.23	1324.141
NM_001005277.1	OR4F16	784.163	786.767	784.49	776.339	784.159	772.982	785.441	783.851	783.963	783.399	783.21	774.724	779.435	763.927	781.284	784.184
XM_002342011.1	LOC100287654	639.173	641.782	639.509	631.355	639.175	628.003	640.46	638.863	638.984	638.428	638.232	629.749	634.469	619.013	636.318	639.226
XR_037798.2	LOC100132630	2094.131	2096.735	2094.468	2086.313	2094.115	2082.938	2095.406	2093.816	2093.927	2093.368	2093.185	2084.681	2089.397	2073.871	2091.23	2094.141
