transcript_id	gene_id	gene_name
XM_002342010.1	LOC100287102	LOC100287102
NR_024540.1	WASH5P	WASH5P
NR_026818.1	FAM138A	FAM138A
NM_001005484.1	OR4F5	OR4F5
XM_001724183.2	LOC100132632	LOC100132632
XR_078212.1	LOC100287060	LOC100287060
XR_039243.2	LOC653340	LOC653340
XM_001133863.2	LOC729737	LOC729737
XM_002344249.1	LOC100132287	LOC100132287
XM_002344250.1	LOC100288609	LOC100288609
XM_002344252.1	LOC100288667	LOC100288667
XM_002344251.1	LOC100288646	LOC100288646
NM_001005221.2	OR4F29	OR4F29
XR_078214.1	LOC100131754	LOC100131754
XR_078216.1	LOC100288578	LOC100288578
XM_002342023.1	LOC100288418	LOC100288418
NM_001005277.1	OR4F16	OR4F16
XM_002342011.1	LOC100287654	LOC100287654
XR_037798.2	LOC100132630	LOC100132630
XR_039297.2	LOC100133060	LOC100133060
XM_002342014.1	LOC100133331	LOC100133331
XM_001724486.2	LOC728534	LOC728534
XM_002342017.1	LOC100288069	LOC100288069
XM_002342016.1	LOC100287934	LOC100287934
XM_002342018.1	LOC100288100	LOC100288100
NR_024321.1	NCRNA00115	NCRNA00115
NR_015368.1	LOC643837	LOC643837
NR_027055.1	FAM41C	FAM41C
NR_026874.1	FLJ39609	FLJ39609
XM_001724524.1	LOC100128838	LOC100128838
NM_152486.2	SAMD11	SAMD11
NM_015658.3	NOC2L	NOC2L
NM_198317.1	KLHL17	KLHL17
NM_032129.1	PLEKHN1	PLEKHN1
XR_039827.1	C1orf170	C1orf170
NM_021170.3	HES4	HES4
NM_001142467.1	HES4	HES4
NM_005101.3	ISG15	ISG15
NM_198576.2	AGRN	AGRN
XM_002342025.1	LOC401934	LOC401934
NM_017891.4	C1orf159	C1orf159
NM_001130045.1	TTLL10	TTLL10
NM_153254.2	TTLL10	TTLL10
NM_148901.1	TNFRSF18	TNFRSF18
NM_148902.1	TNFRSF18	TNFRSF18
NM_004195.2	TNFRSF18	TNFRSF18
NM_003327.2	TNFRSF4	TNFRSF4
NM_016176.3	SDF4	SDF4
NM_016547.2	SDF4	SDF4
NM_080605.3	B3GALT6	B3GALT6
NM_001014980.1	FAM132A	FAM132A
NM_194457.1	UBE2J2	UBE2J2
NM_058167.2	UBE2J2	UBE2J2
NM_194315.1	UBE2J2	UBE2J2
NM_194458.1	UBE2J2	UBE2J2
NM_001130413.1	SCNN1D	SCNN1D
NM_002978.2	SCNN1D	SCNN1D
NM_030649.2	ACAP3	ACAP3
NM_153339.1	PUSL1	PUSL1
NM_017871.4	CPSF3L	CPSF3L
NM_001029885.1	GLTPD1	GLTPD1
NM_152228.1	TAS1R3	TAS1R3
NM_004421.2	DVL1	DVL1
NM_032348.2	MXRA8	MXRA8
XM_002342019.1	LOC100288202	LOC100288202
NM_017900.2	AURKAIP1	AURKAIP1
NM_001127229.1	AURKAIP1	AURKAIP1
NM_001127230.1	AURKAIP1	AURKAIP1
NM_030937.4	CCNL2	CCNL2
NM_001144868.1	CCNL2	CCNL2
NM_001144867.1	CCNL2	CCNL2
NM_001039577.2	CCNL2	CCNL2
NR_015434.1	LOC148413	LOC148413
NM_017971.3	MRPL20	MRPL20
XM_002342020.1	TMEM88B	TMEM88B
NR_026871.1	LOC441869	LOC441869
NM_001145210.1	LOC441869	LOC441869
XM_002342021.1	LOC100288271	LOC100288271
NM_022834.3	VWA1	VWA1
NM_199121.1	VWA1	VWA1
NM_001039211.2	ATAD3C	ATAD3C
NM_031921.4	ATAD3B	ATAD3B
NM_018188.2	ATAD3A	ATAD3A
NM_001114748.1	C1orf70	C1orf70
NM_014188.2	SSU72	SSU72
XM_002342022.1	LOC100288313	LOC100288313
XR_042003.2	LOC643988	LOC643988
NM_080875.1	MIB2	MIB2
NM_006983.1	MMP23B	MMP23B
NM_033493.1	CDC2L1	CDC2L1
NM_033492.1	CDC2L1	CDC2L1
NM_033486.1	CDC2L1	CDC2L1
NM_033487.1	CDC2L1	CDC2L1
NM_033488.1	CDC2L1	CDC2L1
NM_033489.1	CDC2L1	CDC2L1
NM_001110781.1	LOC728661	LOC728661
XR_078215.1	LOC100288379	LOC100288379
XM_002342012.1	LOC100287685	LOC100287685
NR_002946.1	MMP23A	MMP23A
NM_033529.2	CDC2L2	CDC2L2
NM_024011.2	CDC2L2	CDC2L2
NM_182838.1	SLC35E2	SLC35E2
XR_037820.2	LOC100129381	LOC100129381
NM_023018.3	NADK	NADK
NM_002074.2	GNB1	GNB1
NM_138705.2	CALML6	CALML6
NM_178545.3	TMEM52	TMEM52
NM_001003808.1	C1orf222	C1orf222
NM_001080484.1	KIAA1751	KIAA1751
NM_000815.4	GABRD	GABRD
NM_002744.4	PRKCZ	PRKCZ
NM_001033581.1	PRKCZ	PRKCZ
NM_001033582.1	PRKCZ	PRKCZ
XM_002342013.1	LOC100287750	LOC100287750
NR_024445.1	LOC100128003	LOC100128003
NM_182533.2	C1orf86	C1orf86
XR_041873.1	FLJ14100	FLJ14100
NM_003036.3	SKI	SKI
NM_024848.1	MORN1	MORN1
