gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAUSA300_RS00105	1462.3819956580674	2.2923644120855564	0.03989310496588578	3691.472838343	0	0
SAUSA300_RS00110	2057.6249464772745	1.3253330884523844	0.031129567931989018	1813.0987447691698	0	0
SAUSA300_RS00165	4644.255056857741	-2.0245141692961544	0.02373272695405877	8304.749253539701	0	0
SAUSA300_RS00460	522.8030429122905	3.247110848787198	0.06990947535708425	2776.3433908114735	0	0
SAUSA300_RS00545	172.75787515499286	5.179426858105711	0.15578372855272052	1768.6372433426982	0	0
SAUSA300_RS00550	194.3120634738807	4.2634671976852205	0.13668720171075782	1541.0355409106828	0	0
SAUSA300_RS00560	6118.752572995317	4.081980880183196	0.03144554065679719	31582.235949602586	0	0
SAUSA300_RS00585	151.19858801296098	5.806586087446334	0.15241640757222594	1758.8200424660722	0	0
SAUSA300_RS00670	3892.9302162203603	7.885933713144533	0.05498650473612891	33023.850707368394	0	0
SAUSA300_RS00735	479.77607381453817	3.850118909408913	0.07126777135330808	3327.636429659229	0	0
SAUSA300_RS00740	1552.9648858858325	3.2210943741928597	0.04078861451393764	6727.386306755245	0	0
SAUSA300_RS00800	767.9741143828924	5.788359623032837	0.06716111677639662	8195.399069270357	0	0
SAUSA300_RS00895	4913.828371741817	-1.3160725697587157	0.02870458484741729	2792.0170447468454	0	0
SAUSA300_RS00905	313.6775346044569	3.9866317126802895	0.11661733961273284	2727.67755930449	0	0
SAUSA300_RS00950	3770.546261116076	2.240041737947078	0.024783861504469526	7841.4078547988565	0	0
SAUSA300_RS00960	1621.6231919069992	4.829108334527463	0.0425264696283336	14400.089340002813	0	0
SAUSA300_RS00990	329.0678183080842	-3.4632993750414967	0.12476103215736917	1795.5103342151679	0	0
SAUSA300_RS00995	1504.8331587602884	-3.011575686670822	0.05768599861103803	4805.548170420797	0	0
SAUSA300_RS01025	375.9668900528347	-2.7654267566754607	0.08408150793666405	1858.400096542132	0	0
SAUSA300_RS01155	50440.52550795494	4.7673431772939265	0.011619639419163457	168072.7696385391	0	0
SAUSA300_RS01160	18385.869204559236	5.092215969132564	0.015282863357078024	126389.47716400534	0	0
SAUSA300_RS01240	2418.208883101608	2.8708229369223153	0.03623951118667489	8393.614914617814	0	0
SAUSA300_RS01250	14232.376230879298	2.4485209681399684	0.01306151182824802	33305.13038098777	0	0
SAUSA300_RS01350	629.3248374348166	3.608480621740288	0.056329749572256546	4261.647637027725	0	0
SAUSA300_RS01365	583.5699695131531	-4.121485894589827	0.08113364607378216	4784.180369834625	0	0
SAUSA300_RS01370	2004.1211649579327	-2.205277229627133	0.03551202509847869	10737.985512992467	0	0
SAUSA300_RS01420	227.9983878190087	3.5793400194696745	0.09496626556777314	1528.3891945972582	0	0
SAUSA300_RS01490	4210.2697414127215	1.5372321308142038	0.024591671343883965	7159.046021509158	0	0
SAUSA300_RS01625	247.41646448049175	3.136710275895663	0.10092999875163113	1708.0777274778359	0	0
SAUSA300_RS01645	1408.747052958161	2.4797145305708357	0.043816936359086914	3567.3719865704174	0	0
SAUSA300_RS01650	1421.4886834103402	3.3153594820190975	0.04268100708089643	7977.1746345874535	0	0
SAUSA300_RS01705	980.5252668169026	2.596967613228047	0.04198198815233609	3817.6390727835874	0	0
SAUSA300_RS01750	965.5101816421222	2.823908281587417	0.05088189787773803	3787.8828947469965	0	0
SAUSA300_RS01795	448.98435297913085	3.022236203860176	0.07318191789958983	1905.0901228811786	0	0
SAUSA300_RS01800	623.0970543866138	3.3837972835574024	0.0604882459034542	3814.0873736719423	0	0
SAUSA300_RS01980	4647.0343671796545	3.080059341341213	0.03075610004199505	10092.713615365703	0	0
SAUSA300_RS01990	13661.329877273138	5.197023920615004	0.018751229638350447	95386.13745136006	0	0
SAUSA300_RS02020	7351.323795787231	2.2821957550059877	0.018368281792185727	18040.14000852843	0	0
SAUSA300_RS02025	4834.44151761704	2.9259336523828217	0.024831035678133294	16057.689771266001	0	0
SAUSA300_RS02030	600.1724815731027	3.3912366178295943	0.06260654387136176	3180.2224893405332	0	0
SAUSA300_RS02045	1229.776661282078	2.687085133958111	0.04470152484898958	3926.620107670906	0	0
SAUSA300_RS02055	2457.306497782329	1.960956243702236	0.03653370373160209	5909.567807217117	0	0
SAUSA300_RS02070	1238.6541676525098	1.832376950863218	0.0386182786205917	2230.5510782231695	0	0
SAUSA300_RS02345	2902.606555818483	1.0072612967506722	0.02594533423435165	2045.354334591291	0	0
SAUSA300_RS02380	172.9560534438009	5.590391666258233	0.12896524041515006	2354.5618132652635	0	0
SAUSA300_RS02395	1112.2385157678018	3.839065298024068	0.05440702192791058	5927.089296946639	0	0
SAUSA300_RS02400	892.6747431229417	4.489955033354821	0.0712270293594652	4628.897716948848	0	0
SAUSA300_RS02425	609.9677590808271	3.379480030749571	0.059503773783844485	3304.945608116714	0	0
SAUSA300_RS02440	2525.1094990409297	6.212905444095214	0.17536051990453036	3275.7179904453997	0	0
SAUSA300_RS02445	16468.018164965622	4.655801713486927	0.06520502987787136	19530.88985738444	0	0
SAUSA300_RS02530	826.1705960961732	-2.4787419290570076	0.05900258173127536	2115.0225889106227	0	0
SAUSA300_RS02545	6344.584820910718	3.04391519957594	0.022498223904738976	23261.140823393496	0	0
SAUSA300_RS02550	10419.134503633953	4.8639272746129265	0.021455049144706098	64332.28053266487	0	0
SAUSA300_RS02560	1209.8072815479707	2.41535554101755	0.04295178740239625	3161.4768718270716	0	0
SAUSA300_RS02635	2211.630412145492	2.182961202816146	0.03026869023282184	6204.946619918708	0	0
SAUSA300_RS02675	2496.1815989333027	5.884929738785913	0.15631934573672104	3066.1083529297375	0	0
SAUSA300_RS02685	15302.30703059422	4.642526946889551	0.06767507835663138	18705.07791433196	0	0
SAUSA300_RS02700	3441.252617872812	3.4377384532035586	0.03803103859623249	9830.957472736023	0	0
SAUSA300_RS02715	424.6987686055153	4.322443910796138	0.09409521205340574	3230.9768667750945	0	0
SAUSA300_RS02720	714.2956661886496	4.441021092825454	0.06683084844411696	5594.630520419641	0	0
SAUSA300_RS02725	716.7920869717487	2.709394696509308	0.05553934491996781	2584.238659057786	0	0
SAUSA300_RS02730	2122.7768324285303	2.5334930061033774	0.03127643875834798	7101.119711434849	0	0
SAUSA300_RS02795	1936.4285600654678	1.3106241371791223	0.03277739434751386	2542.6718493446833	0	0
SAUSA300_RS02820	8716.518921740657	0.08972941893103391	0.01599866574304847	2916.9311418656207	0	0
SAUSA300_RS02825	6912.814960804446	-0.8088296397964623	0.01917670117574905	3811.8636192078993	0	0
SAUSA300_RS02835	2640.2436965152956	0.2873939631261108	0.02632021111840069	3001.6542220313354	0	0
SAUSA300_RS02840	2632.4031500282267	-0.1937388937377787	0.0283209631831827	2126.2140870093644	0	0
SAUSA300_RS02845	13874.331662968432	0.45591734488596114	0.013255972219026973	18779.63084408125	0	0
