gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SAUSA300_RS00670	814.3729696868309	-1.868685309414405	0.03657440720196602	0	0	Down
SAUSA300_RS00800	986.795616504729	-4.018531614428966	0.04318407564350665	0	0	Down
SAUSA300_RS00820	270.1175703114995	-4.2865781998236105	0.08488961720000873	0	0	Down
SAUSA300_RS00910	284.08849605228306	-3.158296378369774	0.06752635886402561	0	0	Down
SAUSA300_RS00915	208.25283081450297	-3.1823733117382926	0.07982900463112926	0	0	Down
SAUSA300_RS00920	377.29725013882336	-3.4195142401685246	0.060602939174660725	0	0	Down
SAUSA300_RS00925	222.4170421899108	-3.500073924247352	0.0789956360655611	0	0	Down
SAUSA300_RS00930	431.3845581422688	-3.325841013972407	0.056493502588710706	0	0	Down
SAUSA300_RS00940	791.2465573921503	2.0367660648995067	0.04853775825507572	0	0	Up
SAUSA300_RS00950	5660.946259877284	-1.4249725997313498	0.013396443555917152	0	0	Not significant
SAUSA300_RS00960	1741.3617760153327	-2.3058514533455647	0.025536065989100427	0	0	Down
SAUSA300_RS01005	351.0063736303232	-3.271974724709429	0.06091922793080799	0	0	Down
SAUSA300_RS01115	296.5924995683147	-3.1841252738604373	0.06719487139251314	0	0	Down
SAUSA300_RS01155	43397.38589457019	-2.0539484360941493	0.00700983709903014	0	0	Down
SAUSA300_RS01160	15271.241761406425	-1.9701799331749845	0.009614350203495372	0	0	Down
SAUSA300_RS01225	492.64244216275233	-1.6743489071961004	0.04420562958498537	0	0	Down
SAUSA300_RS01230	294.8878812270138	-3.9834330524350854	0.07540705662362304	0	0	Down
SAUSA300_RS01240	3756.3060119902816	-2.765368010600158	0.01843827606850763	0	0	Down
SAUSA300_RS01250	22465.978758027053	-2.515141037181483	0.008377773786035882	0	0	Down
SAUSA300_RS01350	617.7036386923131	-1.9318972369697853	0.04034599061482583	0	0	Down
SAUSA300_RS01385	155.37877490197607	-4.550918962823522	0.119870961365225	0	0	Down
SAUSA300_RS01650	596.2765056653593	-1.5145447180212448	0.039434864803519466	0	0	Not significant
SAUSA300_RS01705	1004.414488521215	-2.272530784004034	0.032296136215220574	0	0	Down
