gene_id	gene_name	N052611_albuterol_dexamethasone	N052611_albuterol	N052611_dexamethasone	N052611_untreated	N061011_albuterol_dexamethasone	N061011_albuterol	N061011_dexamethasone	N061011_untreated	N080611_albuterol_dexamethasone	N080611_albuterol	N080611_dexamethasone	N080611_untreated	N61311_albuterol_dexamethasone	N61311_albuterol	N61311_dexamethasone	N61311_untreated
A1BG	A1BG	1611.131	1613.735	1611.468	1603.313	1611.115	1599.938	1612.406	1610.816	1610.927	1610.368	1610.185	1601.681	1606.397	1590.871	1608.23	1611.141
A1CF	A1CF	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185	1957.185
A2BP1	A2BP1	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333	4134.56595833333
A2LD1	A2LD1	1072.131	1074.735	1072.468	1064.313	1072.115	1060.938	1073.406	1071.816	1071.927	1071.368	1071.185	1062.681	1067.397	1051.871	1069.23	1072.141
A2M	A2M	4498.131	4500.735	4498.468	4490.313	4498.115	4486.938	4499.406	4497.816	4497.927	4497.368	4497.185	4488.681	4493.397	4477.871	4495.23	4498.141
A2ML1	A2ML1	5027.01924039855	5027.01924039855	5027.01924039855	5027.313	5027.01924039855	5023.938	5027.01924039855	5034.816	5027.01924039855	5027.01924039855	5034.185	5027.01924039855	5027.01924039855	5014.871	5027.01924039855	5027.01924039855
A3GALT2	A3GALT2	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397	863.397
A4GALT	A4GALT	1937.131	1939.735	1937.468	1929.313	1937.115	1925.938	1938.406	1936.816	1936.927	1936.368	1936.185	1927.681	1932.397	1916.871	1934.23	1937.141
A4GNT	A4GNT	1616.131	1618.735	1616.468	1608.313	1616.115	1604.938	1617.406	1615.816	1612.63766782107	1612.63766782107	1612.63766782107	1612.63766782107	1612.63766782107	1595.871	1613.23	1616.141
AAA1	AAA1	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625	1248.732625
