tx	gene_id	USA500_NRS385_Biofilm_10h_1	USA500_NRS385_Biofilm_10h_2	USA500_NRS385_Biofilm_10h_3	USA500_NRS385_Biofilm_10h_4	USA500_NRS385_Biofilm_24h_1	USA500_NRS385_Biofilm_24h_2	USA500_NRS385_Biofilm_24h_3	USA500_NRS385_Biofilm_24h_4	USA500_NRS385_Biofilm_24h_5	USA500_NRS385_Biofilm_24h_6	USA500_NRS385_Biofilm_24h_7	USA500_NRS385_Biofilm_24h_8	USA500_NRS385_Biofilm_5h_1	USA500_NRS385_Biofilm_5h_2	USA500_NRS385_Biofilm_5h_3	USA500_NRS385_Biofilm_5h_4	USA500_NRS385_Planktonic_10h_1	USA500_NRS385_Planktonic_10h_2	USA500_NRS385_Planktonic_10h_3	USA500_NRS385_Planktonic_10h_4	USA500_NRS385_Planktonic_24h_1	USA500_NRS385_Planktonic_24h_2	USA500_NRS385_Planktonic_24h_3	USA500_NRS385_Planktonic_24h_4	USA500_NRS385_Planktonic_24h_5	USA500_NRS385_Planktonic_24h_6	USA500_NRS385_Planktonic_24h_7	USA500_NRS385_Planktonic_24h_8	USA500_NRS385_Planktonic_5h_1	USA500_NRS385_Planktonic_5h_2	USA500_NRS385_Planktonic_5h_3	USA500_NRS385_Planktonic_5h_4
unassigned_transcript_1	SAUSA300_RS00010	1196.98	1196.757	1197.627	1195.919	1199.554	1199.255	1198.836	1199.42	1199.443	1199.594	1199.571	1199.138	1197.151	1196.922	1197.766	1197.319	1196.617	1197.356	1195.583	1196.549	1198.224	1197.802	1197.499	1197.725	1197.825	1198.523	1197.757	1197.461	1160.827	1161.454	1160.378	1159.747
unassigned_transcript_2	SAUSA300_RS00015	968.98	968.757	969.627	967.919	971.554	971.255	970.836	971.42	971.443	971.594	971.571	971.138	969.151	968.922	969.766	969.319	968.617	969.356	967.583	968.549	970.224	969.802	969.499	969.725	969.825	970.523	969.757	969.461	932.827	933.454	932.378	931.747
unassigned_transcript_3	SAUSA300_RS00020	92.562	92.39	92.699	92.15	96.406	96.067	96.136	96.259	96.454	96.551	96.292	96.306	91.955	91.627	92.112	91.777	93.072	93.337	92.616	92.939	94.773	94.591	94.431	94.475	94.69	94.746	94.561	94.546	75.087	75.187	75.115	75.015
unassigned_transcript_4	SAUSA300_RS00025	947.98	947.757	948.627	946.919	950.554	950.255	949.836	950.42	950.443	950.594	950.571	950.138	948.151	947.922	948.766	948.319	947.617	948.356	946.583	947.549	949.224	948.802	948.499	948.725	948.825	949.523	948.757	948.461	911.827	912.454	911.378	910.747
unassigned_transcript_5	SAUSA300_RS00030	1769.98	1769.757	1770.627	1768.919	1772.554	1772.255	1771.836	1772.42	1772.443	1772.594	1772.571	1772.138	1770.151	1769.922	1770.766	1770.319	1769.617	1770.356	1768.583	1769.549	1771.224	1770.802	1770.499	1770.725	1770.825	1771.523	1770.757	1770.461	1733.827	1734.454	1733.378	1732.747
unassigned_transcript_6	SAUSA300_RS00035	2498.98	2498.757	2499.627	2497.919	2501.554	2501.255	2500.836	2501.42	2501.443	2501.594	2501.571	2501.138	2499.151	2498.922	2499.766	2499.319	2498.617	2499.356	2497.583	2498.549	2500.224	2499.802	2499.499	2499.725	2499.825	2500.523	2499.757	2499.461	2462.827	2463.454	2462.378	2461.747
unassigned_transcript_7	SAUSA300_RS00040	647.98	647.757	648.627	646.919	650.554	650.255	649.836	650.42	650.443	650.594	650.571	650.138	648.151	647.922	648.766	648.319	647.617	648.356	646.583	647.549	649.224	648.802	648.499	648.725	648.825	649.523	648.757	648.461	611.827	612.454	611.378	610.747
unassigned_transcript_8	SAUSA300_RS00045	1349.98	1349.757	1350.627	1348.919	1352.554	1352.255	1351.836	1352.42	1352.443	1352.594	1352.571	1352.138	1350.151	1349.922	1350.766	1350.319	1349.617	1350.356	1348.583	1349.549	1351.224	1350.802	1350.499	1350.725	1350.825	1351.523	1350.757	1350.461	1313.827	1314.454	1313.378	1312.747
unassigned_transcript_9	SAUSA300_RS00050	1121.98	1121.757	1122.627	1120.919	1124.554	1124.255	1123.836	1124.42	1124.443	1124.594	1124.571	1124.138	1122.151	1121.922	1122.766	1122.319	1121.617	1122.356	1120.583	1121.549	1123.224	1122.802	1122.499	1122.725	1122.825	1123.523	1122.757	1122.461	1085.827	1086.454	1085.378	1084.747
unassigned_transcript_10	SAUSA300_RS00055	530.98	530.757	531.627	529.919	533.554	533.255	532.836	533.42	533.443	533.594	533.571	533.138	531.151	530.922	531.766	531.319	530.617	531.356	529.583	530.549	532.224	531.802	531.499	531.725	531.825	532.523	531.757	531.461	494.827	495.454	494.378	493.747
